number,S1,S2,S3,Total,Anchor,Pass
3160200001,25,21,34,80,59.7,0
3160200002,31,24,20,75,40.7,0
3160200003,36,30,30,96,36.8,1
3160200004,34,40,34,108,59.7,1
3160200005,40,32,25,97,53.5,1
3160200006,45,48,49,142,100,1
3160200007,52,48,56,156,100,1
3160200008,31,26,23,80,60.3,0
3160200009,46,37,47,130,100,1
3160200010,57,41,56,154,100,1
3160200011,39,22,23,84,83.3,0
3160200012,53,45,54,152,83.3,1
3160200013,20,23,21,64,83.3,0
3160200014,29,25,32,86,64.3,0
3160200015,24,24,18,66,17.8,0
3160200016,29,22,40,91,59.7,1
3160200017,44,39,37,120,59.7,1
3160200018,35,38,21,94,60.3,1
3160200019,41,28,19,88,34.5,0
3160200020,29,33,27,89,22.9,0
3160200021,43,28,29,100,58.7,1
3160200022,29,26,21,76,53.5,0
3160200023,35,40,38,113,100,1
3160200024,52,27,38,117,40.7,1
3160200025,30,25,27,82,59.7,0
3160200026,19,21,27,67,23.5,0
3160200027,14,14,22,50,0,0
3160200028,35,31,29,95,100,1
3160200029,35,24,27,86,59.7,0
3160200030,11,10,25,46,39.7,0
3160200031,20,31,23,74,57.4,0
3160200032,44,36,38,118,83.3,1
3160200033,27,25,32,84,17.8,0
3160200034,38,22,22,82,36.8,0
3160200035,22,15,19,56,76.5,0
3160200036,26,24,35,85,63.2,0
3160200037,45,45,31,121,76.5,1
3160200038,27,29,39,95,81,1
3160200039,43,35,31,109,100,1
3160200040,31,32,33,96,53.5,1
3160200041,23,18,16,57,40.7,0
3160200042,46,31,35,112,100,1
3160200043,29,29,33,91,83.3,1
3160200044,35,30,33,98,42.6,1
3160200045,25,29,14,68,35.7,0
3160200046,51,42,20,113,59.7,1
3160200047,44,30,36,110,76.5,1
3160200048,41,35,32,108,83.3,1
3160200049,51,43,32,126,76.5,1
3160200050,37,32,26,95,59.7,1
3160200051,47,29,27,103,53.5,1
3160200052,32,23,29,84,76.5,0
3160200053,34,34,29,97,83.3,1
3160200054,31,26,46,103,83.3,1
3160200055,38,39,33,110,60.3,1
3160200056,25,18,32,75,17.8,0
3160200057,32,20,30,82,53.5,0
3160200058,36,29,36,101,53.5,1
3160200059,24,28,30,82,58,0
3160200060,32,32,37,101,83.3,1
3160200061,34,28,37,99,57.4,1
3160200062,38,21,27,86,36.8,0
3160200063,20,27,41,88,60.3,0
3160200064,42,23,38,103,100,1
3160200065,42,30,37,109,100,1
3160200066,22,23,38,83,83.3,0
3160200067,53,33,46,132,83.3,1
3160200068,45,27,38,110,59.7,1
3160200069,28,19,18,65,17.8,0
3160200070,30,25,24,79,40.7,0
3160200071,13,21,28,62,17.8,0
3160200072,25,28,30,83,46.5,0
3160200073,35,39,30,104,100,1
3160200074,48,30,31,109,76.5,1
3160200075,35,27,21,83,59.7,0
3160200076,35,24,27,86,57.4,0
3160200077,39,23,28,90,60.3,0
3160200078,37,33,39,109,60.3,1
3160200079,26,23,34,83,64.3,0
3160200080,28,18,20,66,60.3,0
3160200081,29,25,32,86,64.3,0
3160200082,43,25,31,99,77.1,1
3160200083,33,30,30,93,34.5,1
3160200084,37,31,35,103,34.5,1
3160200085,39,44,27,110,76.5,1
3160200086,41,35,33,109,100,1
3160200087,27,27,34,88,81,0
3160200088,47,36,33,116,59.7,1
3160200089,19,17,16,52,42,0
3160200090,25,23,19,67,53.5,0
3160200091,22,26,26,74,53.5,0
3160200092,38,29,21,88,53.5,0
3160200093,24,20,42,86,58,0
3160200094,39,36,43,118,77.1,1
3160200095,52,36,31,119,59.7,1
3160200096,41,43,44,128,83.3,1
3160200097,39,27,48,114,83.3,1
3160200098,37,25,23,85,83.3,0
3160200099,42,22,33,97,57.4,1
3160200100,27,26,19,72,19,0
3160200101,27,19,27,73,17.8,0
3160200102,18,18,31,67,22.9,0
3160200103,27,23,29,79,40.7,0
3160200104,20,15,38,73,40.7,0
3160200105,34,28,17,79,76.5,0
3160200106,46,34,30,110,76.5,1
3160200107,29,34,17,80,53.5,0
3160200108,31,32,25,88,42,0
3160200109,24,17,25,66,41.3,0
3160200110,47,25,31,103,59.7,1
3160200111,19,22,16,57,53.5,0
3160200112,42,35,25,102,42,1
3160200113,43,35,33,111,83.3,1
3160200114,46,35,35,116,100,1
3160200115,24,13,20,57,0,0
3160200116,25,25,32,82,57.4,0
3160200117,31,25,23,79,77.1,0
3160200118,43,40,25,108,59.7,1
3160200119,24,20,41,85,81,0
3160200120,48,42,23,113,36.8,1
3160200121,43,24,33,100,100,1
3160200122,28,27,22,77,22.9,0
3160200123,38,31,16,85,58.7,0
3160200124,18,24,24,66,17.8,0
3160200125,45,30,25,100,76.5,1
3160200126,45,38,34,117,100,1
3160200127,46,33,21,100,53.5,1
3160200128,36,26,25,87,17.8,0
3160200129,45,36,26,107,76.5,1
3160200130,41,32,30,103,53.5,1
3160200131,39,32,30,101,83.3,1
3160200132,27,33,29,89,100,0
3160200133,47,45,44,136,83.3,1
3160200134,38,26,21,85,53.5,0
3160200135,46,36,16,98,77.1,1
3160200136,34,25,17,76,76.5,0
3160200137,40,23,16,79,36.8,0
3160200138,33,41,42,116,83.3,1
